name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	29	29	0	610	610	-1	3240	3240	-1	1930	1930	-1	674	674	-1	2980	2980	-1	3240	3240	-1	t < 800 ms	2	6	800 ms < t < 1200 ms	2	6	t > 1200 ms	25	86	failed	0	0	2	2	-1
traverse and return all non-deleted assets' instances	29	29	0	610	610	-1	3240	3240	-1	1930	1930	-1	674	674	-1	2980	2980	-1	3240	3240	-1	t < 800 ms	2	6	800 ms < t < 1200 ms	2	6	t > 1200 ms	25	86	failed	0	0	2	2	-1
