name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	13935	13935	0	0	0	-1	900	900	-1	33	33	-1	37	37	-1	100	100	-1	150	150	-1	t < 800 ms	13933	99	800 ms < t < 1200 ms	2	0	t > 1200 ms	0	0	failed	0	0	928	928	-1
query by asset id and filter and return instances	13935	13935	0	0	0	-1	900	900	-1	33	33	-1	37	37	-1	100	100	-1	150	150	-1	t < 800 ms	13933	99	800 ms < t < 1200 ms	2	0	t > 1200 ms	0	0	failed	0	0	928	928	-1
