name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	28	28	0	710	710	-1	3460	3460	-1	2050	2050	-1	730	730	-1	3210	3210	-1	3460	3460	-1	t < 800 ms	2	7	800 ms < t < 1200 ms	3	10	t > 1200 ms	23	82	failed	0	0	2	2	-1
traverse and return all non-deleted assets' instances	28	28	0	710	710	-1	3460	3460	-1	2050	2050	-1	730	730	-1	3210	3210	-1	3460	3460	-1	t < 800 ms	2	7	800 ms < t < 1200 ms	3	10	t > 1200 ms	23	82	failed	0	0	2	2	-1
