name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	100	7	93	57480	57480	60000	60170	59960	60170	59945	59056	60011	0	0	0	60040	59960	60040	60120	59960	60120	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	7	7	failed	93	93	1	0	1
traverse and return all non-deleted assets' instances	100	7	93	57480	57480	60000	60170	59960	60170	59945	59056	60011	0	0	0	60040	59960	60040	60120	59960	60120	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	7	7	failed	93	93	1	0	1
