name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	2908	2908	0	0	0	-1	4570	4570	-1	180	180	-1	370	370	-1	520	520	-1	1720	1720	-1	t < 800 ms	2836	97	800 ms < t < 1200 ms	31	1	t > 1200 ms	41	1	failed	0	0	145	145	-1
get related actors	2908	2908	0	0	0	-1	4570	4570	-1	180	180	-1	370	370	-1	520	520	-1	1720	1720	-1	t < 800 ms	2836	97	800 ms < t < 1200 ms	31	1	t > 1200 ms	41	1	failed	0	0	145	145	-1
