name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	22733	22733	0	0	0	-1	280	280	-1	10	10	-1	21	21	-1	50	50	-1	80	80	-1	t < 800 ms	22733	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1509	1509	-1
query by asset id and filter	22733	22733	0	0	0	-1	280	280	-1	10	10	-1	21	21	-1	50	50	-1	80	80	-1	t < 800 ms	22733	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1509	1509	-1
