name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	20580	20580	0	0	0	-1	8980	8980	-1	194	194	-1	430	430	-1	930	930	-1	1870	1870	-1	t < 800 ms	19174	93	800 ms < t < 1200 ms	838	4	t > 1200 ms	568	2	failed	0	0	1159	1159	-1
query by asset id and filter and return instances	20580	20580	0	0	0	-1	8980	8980	-1	194	194	-1	430	430	-1	930	930	-1	1870	1870	-1	t < 800 ms	19174	93	800 ms < t < 1200 ms	838	4	t > 1200 ms	568	2	failed	0	0	1159	1159	-1
